1514761200,7.7,83
1514761800,7.8,83
1514762400,7.8,82
1514763000,7.8,82
1514763600,7.8,81
1514764200,7.8,81
1514764800,7.7,80
1514765400,7.5,80
1514766000,7.5,81
1514766600,7.5,81
1514767200,7.5,80
1514767800,7.5,80
1514768400,7.4,80
1514769000,7.3,81
1514769600,7.1,82
1514770200,6.9,83
1514770800,6.7,84
1514771400,6.5,84
1514772000,6.4,85
1514772600,6.3,86
1514773200,6.3,86
1514773800,6.3,86
1514774400,6.3,86
1514775000,6.1,86
1514775600,6.1,86
1514776200,6.1,87
1514776800,6.0,87
1514777400,5.7,87
1514778000,5.6,87
1514778600,5.6,88
1514779200,5.7,88
1514779800,5.8,88
1514780400,5.8,88
1514781000,5.9,88
1514781600,5.8,88
1514782200,5.7,89
1514782800,5.8,89
1514783400,5.8,89
1514784000,5.8,89
1514784600,5.8,89
1514785200,5.8,89
1514785800,5.7,89
1514786400,5.6,89
1514787000,5.5,90
1514787600,5.3,90
1514788200,5.2,90
1514788800,5.1,90
1514789400,5.1,90
1514790000,5.0,90
1514790600,5.0,89
1514791200,5.0,89
1514791800,4.9,89
1514792400,4.8,90
1514793000,4.7,91
1514793600,4.8,91
1514794200,4.9,92
1514794800,5.0,92
1514795400,5.1,92
1514796000,5.2,92
1514796600,5.4,92
1514797200,5.6,91
1514797800,5.7,90
1514798400,5.8,91
1514799000,5.9,91
1514799600,5.8,91
1514800200,5.9,91
1514800800,6.1,91
1514801400,6.1,91
1514802000,6.2,91
1514802600,6.3,91
1514803200,6.4,91
1514803800,6.5,92
1514804400,6.6,92
1514805000,6.6,93
1514805600,6.6,93
1514806200,6.6,94
1514806800,6.6,94
1514807400,6.5,93
1514808000,6.5,93
1514808600,6.4,93
1514809200,6.3,93
1514809800,6.2,92
1514810400,6.1,92
1514811000,6.1,92
1514811600,6.1,92
1514812200,6.0,92
1514812800,5.9,93
1514813400,5.9,94
1514814000,5.8,95
1514814600,5.8,96
1514815200,5.8,97
1514815800,5.9,97
1514816400,6.0,98
1514817000,6.2,99
1514817600,6.4,99
1514818200,6.5,99
1514818800,6.5,99
1514819400,6.5,100
1514820000,6.5,100
1514820600,6.6,100
1514821200,6.6,100
1514821800,6.6,100
1514822400,6.6,99
1514823000,6.6,99
1514823600,6.6,99
1514824200,6.6,99
1514824800,6.6,99
1514825400,6.6,100
1514826000,6.6,100
1514826600,6.6,100
1514827200,6.6,98
